" Code","Sampling Date",State,City/Town/Village/Area,"Location of Monitoring Station",Agency,"Type of Location",SO2,NO2,RSPM/PM10,"PM 2.5"
NA,2005-08-22T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",11,58,73,NA
NA,2007-05-22T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",14.5,94.9,114,NA
NA,2011-03-03T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",12,82,200,NA
NA,2007-05-23T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",9.5,86.4,129,NA
NA,2009-04-29T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.8,60.8,321,NA
NA,NA,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,182,435,NA
NA,2003-07-22T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",5,19,NA,NA
NA,2005-08-25T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",12,57,106,NA
NA,2014-02-22T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",6,110,176,NA
NA,2011-08-03T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,56,180,NA
NA,2008-03-26T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.5,27.2,184,NA
NA,2009-05-05T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",6,53.7,306,NA
NA,2014-02-23T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,82,154,NA
NA,2011-09-03T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",11,83,248,NA
NA,2007-05-29T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",7.7,81.8,116,NA
NA,2003-07-23T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",6,22,NA,NA
NA,2005-08-30T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",11,46,90,NA
NA,NA,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,151,335,NA
NA,2008-01-04T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.2,44.3,133,NA
NA,NA,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,159,289,NA
NA,2005-05-09T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",9,39,68,NA
NA,2008-04-04T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,37.6,91,NA
NA,2011-03-15T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,108,355,NA
NA,2003-07-29T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",7,26,NA,NA
NA,2007-05-30T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",17.1,83.3,162,NA
NA,2009-08-05T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",NA,NA,295,NA
NA,2014-11-03T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,58,90,NA
NA,2003-07-30T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",7,29,NA,NA
NA,2011-03-16T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,94,294,NA
NA,2009-05-13T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.7,55.7,287,NA
NA,2007-07-08T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",NA,48,92,NA
NA,2014-12-03T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,64,72,NA
NA,2008-09-04T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,40.7,156,NA
NA,NA,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,136,264,NA
NA,2005-08-09T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",9,37,52,NA
NA,2008-04-15T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,51.2,215,NA
NA,2005-09-13T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",10,40,50,NA
NA,2011-03-17T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",10,99,341,NA
NA,2003-05-08T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",7,40,NA,NA
NA,2007-08-08T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",NA,42.8,73,NA
NA,NA,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",13,178,346,NA
NA,2014-03-13T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",15,80,100,NA
NA,2009-05-18T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.8,53.8,367,NA
NA,2014-03-25T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",21,82,141,NA
NA,2008-04-21T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,63.8,201,NA
NA,2003-06-08T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",7,40,NA,NA
NA,2011-05-04T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",7,72,291,NA
NA,2009-05-21T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.7,53.2,304,NA
NA,2007-09-08T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",9.1,67.7,64,NA
NA,NA,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,174,346,NA
NA,2005-09-21T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",11,50,63,NA
NA,2008-04-24T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,60.8,230,NA
NA,2011-06-04T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,62,288,NA
NA,2003-11-08T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",12,28,NA,NA
NA,2009-05-26T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.5,53.3,238,NA
NA,2007-08-21T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",NA,49.8,72,NA
NA,NA,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,130,271,NA
NA,2014-03-26T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",17,85,97,NA
NA,2005-09-26T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",11,51,104,NA
NA,NA,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,161,318,NA
NA,2005-09-29T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",9,48,85,NA
NA,2014-03-27T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",12,93,106,NA
NA,2011-07-04T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,66,215,NA
NA,2008-04-29T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,59.3,358,NA
NA,2003-12-08T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",12,29,NA,NA
NA,2007-08-22T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",2.4,56.9,85,NA
NA,2009-01-06T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.8,60.3,396,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",9,99,344,NA
NA,2003-08-23T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",15,27,NA,NA
NA,2007-08-23T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",NA,48.8,116,NA
NA,2009-04-06T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.5,62.8,400,NA
NA,2014-03-29T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,65,73,NA
NA,2005-05-10T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",13,53,116,NA
NA,2011-12-04T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,76,331,NA
NA,2008-05-05T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.2,60.8,303,NA
NA,2011-04-13T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,81,375,NA
NA,2005-10-10T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",11,44,69,NA
NA,2007-08-29T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",4.7,40.7,64,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",10,98,304,NA
NA,2008-08-05T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.3,67.8,356,NA
NA,2009-09-06T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5,56.8,285,NA
NA,2014-03-30T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",9,65,88,NA
NA,2003-08-24T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",7,24,NA,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",8,122,374,NA
NA,2005-10-17T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",9,43,164,NA
NA,2003-08-26T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",7,32,NA,NA
NA,2008-05-13T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.2,54.3,241,NA
NA,2009-12-06T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.2,55.7,426,NA
NA,2011-04-14T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,97,337,NA
NA,2007-08-30T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",3.6,38.5,83,NA
NA,2014-04-14T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,103,115,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",2,66,224,NA
NA,2007-09-10T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",5.6,127,178,NA
NA,2011-04-19T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,74,259,NA
NA,2005-10-20T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",13,49,138,NA
NA,2014-04-15T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",6,114,137,NA
NA,2003-08-27T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",6,28,NA,NA
NA,2008-05-16T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.8,68,445,NA
NA,2009-06-17T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.7,60.5,NA,NA
NA,2009-06-22T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.8,49.7,351,NA
NA,2008-05-27T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,46.3,149,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",6,82,270,NA
NA,2014-04-16T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",19,18,78,NA
NA,2011-04-20T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,76,233,NA
NA,2003-06-09T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",7,31,NA,NA
NA,2005-10-25T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",12,57,142,NA
NA,2007-10-10T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",9.4,135.7,185,NA
NA,2008-02-06T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,60.5,111,NA
NA,2014-04-19T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",10,119,153,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",7,76,251,NA
NA,2011-12-05T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,51,361,NA
NA,2003-07-09T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",13,25,NA,NA
NA,2005-10-28T05:23:46Z,Delhi,Delhi,Nizamuddin,NA,"Residential and others",13,50,224,NA
NA,2007-11-10T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",4.4,142.4,218,NA
NA,2009-06-25T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.8,50.2,472,NA
NA,2009-01-07T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",6.2,59.7,162,NA
NA,2005-06-01T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",8,35,134,NA
NA,2007-10-16T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",9.5,87.7,85,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",16,66,234,NA
NA,2014-04-20T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",9,104,84,NA
NA,2011-05-13T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,72,373,NA
NA,2003-09-09T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",11,43,NA,NA
NA,2008-05-06T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.3,52.3,190,NA
NA,2005-11-01T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",7,38,114,NA
NA,2003-10-09T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",12,31,NA,NA
NA,2008-10-06T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,45.2,73,NA
NA,2009-06-07T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",6.3,62.8,331,NA
NA,2011-05-14T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,54,365,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",3,133,293,NA
NA,2014-04-21T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",13,74,128,NA
NA,2007-10-17T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",7.8,103.7,207,NA
NA,2014-04-23T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",11,93,124,NA
NA,2003-09-16T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",10,33,NA,NA
NA,2008-06-18T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,43.2,79,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",4,112,356,NA
NA,2005-01-14T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",7,36,156,NA
NA,2007-10-18T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",8,126.3,205,NA
NA,2011-05-19T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,40,355,NA
NA,2009-09-07T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.2,54.7,141,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",5,115,312,NA
NA,2014-04-24T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",12,109,164,NA
NA,2007-10-23T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",8.9,151.9,381,NA
NA,2005-01-19T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",6,28,104,NA
NA,2003-09-17T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",7,29,NA,NA
NA,2011-05-20T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,56,564,NA
NA,2008-06-23T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.3,47.7,202,NA
NA,2009-07-14T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.8,55.8,258,NA
NA,2005-01-25T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5,21,NA,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",3,113,257,NA
NA,2014-05-13T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,53,77,NA
NA,2011-05-21T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,50,165,NA
NA,2008-06-26T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,48.2,110,NA
NA,2003-09-23T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",6,30,NA,NA
NA,2007-10-24T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",5.4,152.9,327,NA
NA,2009-07-17T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.7,55.8,302,NA
NA,2014-05-14T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,72,96,NA
NA,2011-05-24T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,65,364,NA
NA,2007-05-11T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",10.2,116.8,485,NA
NA,2009-07-22T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.5,58.5,202,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",6,88,269,NA
NA,2008-02-07T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,49.7,100,NA
NA,2003-09-24T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",9,27,NA,NA
NA,2005-01-02T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",10,26,NA,NA
NA,2003-11-10T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",33,49,NA,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",17,99,286,NA
NA,2007-06-11T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",29.1,150.2,606,NA
NA,2009-07-27T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",6.8,77.7,165,NA
NA,2011-05-25T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",7,64,331,NA
NA,2008-07-07T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,43.2,51,NA
NA,2005-04-02T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",11,28,88,NA
NA,2014-05-15T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,68,65,NA
NA,2003-12-10T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",33,48,NA,NA
NA,2007-12-11T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",24.5,158.1,392,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",10,85,322,NA
NA,2014-05-20T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,61,141,NA
NA,2009-07-30T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.3,54,201,NA
NA,2005-09-02T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",10,27,77,NA
NA,2011-01-06T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,36,175,NA
NA,2008-10-07T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.3,42.5,51,NA
NA,2007-11-13T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",31.3,159.2,416,NA
NA,2009-05-08T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",5.3,55,190,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",10,104,333,NA
NA,2014-05-21T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,74,137,NA
NA,2005-02-14T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",9,27,80,NA
NA,2008-07-15T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,41.5,111,NA
NA,2003-10-14T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",27,65,NA,NA
NA,2011-02-06T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,73,167,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",7,130,165,NA
NA,2007-11-14T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",6.4,125,450,NA
NA,2014-05-22T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,77,180,NA
NA,2011-07-06T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,42,389,NA
NA,2005-02-17T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",13,36,124,NA
NA,2009-10-08T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.3,53.3,190,NA
NA,2008-07-18T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.2,48.2,202,NA
NA,2003-10-15T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",25,59,NA,NA
NA,NA,Delhi,Delhi,"Mayapuri Industrial Area, Delhi","National Environmental Engineering Research Institute","Industrial Area",4,95,254,NA
NA,2009-08-13T11:51:45Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.3,46,149,NA
NA,2003-10-20T06:08:56Z,Delhi,Delhi,NA,NA,"Industrial Area",25,65,NA,NA
NA,2014-05-27T12:46:37Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",15,115,153,NA
NA,2011-08-06T06:50:56Z,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,52,308,NA
NA,2008-07-23T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4,40.5,192,NA
NA,2007-11-19T11:46:48Z,Delhi,Delhi,"Town Hall",NA,"Residential and others",21.7,137.2,440,NA
NA,2005-02-22T05:23:46Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",13,42,66,NA
NA,2008-07-28T06:50:34Z,Delhi,Delhi,"Siri Fort",NA,"Residential and others",4.7,46.2,88,NA
