DISTRICT_NAME,TIME,RAINFALL
Baghpat,2020-01-26,0.0
Baghpat,2020-01-27,0.0
Baghpat,2020-01-28,4.506640911102295
Baghpat,2020-01-29,3.5937201976776123
Baghpat,2020-01-30,0.0
Baghpat,2020-01-31,0.0
Baghpat,2020-02-01,0.0
Baghpat,2020-02-02,0.0
Baghpat,2020-02-03,0.0
Baghpat,2020-02-04,0.0
Baghpat,2020-02-05,0.0
Baghpat,2020-02-06,0.0
Baghpat,2020-02-07,0.0
Baghpat,2020-02-08,0.0
Baghpat,2020-02-09,0.0
Baghpat,2020-02-10,0.0
Baghpat,2020-02-11,0.0
Baghpat,2020-02-12,0.0
Baghpat,2020-02-13,0.0
Baghpat,2020-02-14,0.0
Baghpat,2020-02-15,0.0
Baghpat,2020-02-16,0.0
Baghpat,2020-02-17,0.0
Baghpat,2020-02-18,0.0
Baghpat,2020-02-19,0.0
Baghpat,2020-02-20,0.0
Baghpat,2020-02-21,10.410875797271729
Baghpat,2020-02-22,8.155839800834656
Baghpat,2020-02-23,0.0
Baghpat,2020-02-24,0.0
Baghpat,2020-02-25,0.0
Baghpat,2020-02-26,0.0
Baghpat,2020-02-27,0.0
Baghpat,2020-02-28,0.0
Baghpat,2020-02-29,0.0
Baghpat,2020-03-01,4.986284017562866
Baghpat,2020-03-02,0.0
Baghpat,2020-03-03,0.0
Baghpat,2020-03-04,0.0
Baghpat,2020-03-05,10.631741046905518
Baghpat,2020-03-06,6.493247389793396
Baghpat,2020-03-07,17.49149513244629
Baghpat,2020-03-08,0.37775571644306183
Baghpat,2020-03-09,0.0
Baghpat,2020-03-10,0.0
Baghpat,2020-03-11,0.5363514274358749
Baghpat,2020-03-12,17.401158094406128
Baghpat,2020-03-13,0.8293614387512207
Baghpat,2020-03-14,4.4990493059158325
Baghpat,2020-03-15,0.9519059956073761
Baghpat,2020-03-16,0.0
Baghpat,2020-03-17,0.0
Baghpat,2020-03-18,0.0
Baghpat,2020-03-19,0.0
Baghpat,2020-03-20,0.0
Baghpat,2020-03-21,0.0
Baghpat,2020-03-22,0.0
Baghpat,2020-03-23,0.0
Baghpat,2020-03-24,0.0
Baghpat,2020-03-25,0.0
Baghpat,2020-03-26,0.0
Baghpat,2020-03-27,0.0
Baghpat,2020-03-28,15.320157527923584
Baghpat,2020-03-29,0.0
Baghpat,2020-03-30,0.0
Baghpat,2020-03-31,0.0
Baghpat,2020-04-01,0.0
Baghpat,2020-04-02,0.0
Baghpat,2020-04-03,0.0
Baghpat,2020-04-04,0.0
Baghpat,2020-04-05,0.0
Baghpat,2020-04-06,0.0
Baghpat,2020-04-07,0.0
Baghpat,2020-04-08,0.0
Baghpat,2020-04-09,0.0
Baghpat,2020-04-10,0.0
Baghpat,2020-04-11,0.0
Baghpat,2020-04-12,0.0
Baghpat,2020-04-13,0.0
Baghpat,2020-04-14,0.0
Baghpat,2020-04-15,0.0
