YEAR,MONTH,DISTRICT_NAME,RAINFALL
2018,12,Hapur,0.0
2018,1,Jhajjar,0.09628197326455065
2018,2,Jhajjar,0.0040859179127784
2018,3,Jhajjar,0.0
2018,4,Jhajjar,0.306998243348466
2018,5,Jhajjar,0.4634513888628252
2018,6,Jhajjar,2.551203503873613
2018,7,Jhajjar,4.88270023176747
2018,8,Jhajjar,2.890087719325737
2018,9,Jhajjar,3.9029099055462413
2018,10,Jhajjar,0.0
2018,11,Jhajjar,0.10316454768180847
2018,12,Jhajjar,0.014002156273652148
2018,1,Jind,0.3123151410010554
2018,2,Jind,0.14691176691225596
2018,3,Jind,0.0
2018,4,Jind,0.10635614991188051
2018,5,Jind,0.4622404036983367
2018,6,Jind,1.608240427573522
2018,7,Jind,4.552074611186981
2018,8,Jind,2.670566494666761
2018,9,Jind,7.0400991722941395
2018,10,Jind,0.0
2018,11,Jind,0.01410333514213562
2018,12,Jind,0.008003385316941045
2018,1,Karnal,0.3408210277557373
2018,2,Karnal,0.5549728343529361
2018,3,Karnal,0.011330646853293143
2018,4,Karnal,0.18296734392642974
2018,5,Karnal,0.6756945867692271
2018,6,Karnal,2.291274727135897
2018,7,Karnal,8.490293370139215
2018,8,Karnal,3.5053040757775307
2018,9,Karnal,6.584669919312001
2018,10,Karnal,0.0
2018,11,Karnal,0.019524982074896495
2018,12,Karnal,0.09453149476358967
2018,1,Meerut,0.2136997067159222
2018,2,Meerut,0.0
2018,3,Meerut,0.07653014140744363
2018,4,Meerut,0.3709819720188776
2018,5,Meerut,0.42655745936978245
2018,6,Meerut,1.3599932264288266
2018,7,Meerut,12.309516581941034
2018,8,Meerut,6.983254555636837
2018,9,Meerut,8.30457549840212
2018,10,Meerut,0.5727083848368737
2018,11,Meerut,0.018363543649514518
2018,12,Meerut,0.0
2018,1,Muzaffarnagar,0.17311019282187184
2018,2,Muzaffarnagar,0.0605608874133655
2018,3,Muzaffarnagar,0.24783635427874903
2018,4,Muzaffarnagar,0.6116470739245414
2018,5,Muzaffarnagar,0.6271931841488807
2018,6,Muzaffarnagar,2.1247580286115406
2018,7,Muzaffarnagar,12.062184574743432
2018,8,Muzaffarnagar,7.4530949515681115
2018,9,Muzaffarnagar,9.224243644624949
