DISTRICT_NAME,State,AQI,YEAR,MONTH,TIME,TIME_ISO,DISTRICT_NAME_clean
Gautam Buddha Nagar,UttarPradesh,98.93,2018,7,2018-07-01,2018-07-01T00:00:00,gautam buddha nagar
Ghaziabad,UttarPradesh,110.57,2018,7,2018-07-01,2018-07-01T00:00:00,ghaziabad
Gurugram,Haryana,108.82,2018,7,2018-07-01,2018-07-01T00:00:00,gurugram
Hapur,UttarPradesh,,2018,7,2018-07-01,2018-07-01T00:00:00,hapur
Jhajjar,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,jhajjar
Jind,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,jind
Mahendragarh,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,mahendragarh
Meerut,UttarPradesh,,2018,7,2018-07-01,2018-07-01T00:00:00,meerut
Muzaffarnagar,UttarPradesh,117.36,2018,7,2018-07-01,2018-07-01T00:00:00,muzaffarnagar
New Delhi,NCTofDelhi,93.45,2018,7,2018-07-01,2018-07-01T00:00:00,new delhi
North Delhi,NCTofDelhi,97.17,2018,7,2018-07-01,2018-07-01T00:00:00,north delhi
North East Delhi,NCTofDelhi,98.43,2018,7,2018-07-01,2018-07-01T00:00:00,north east delhi
North West Delhi,NCTofDelhi,111.88,2018,7,2018-07-01,2018-07-01T00:00:00,north west delhi
Nuh,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,nuh
Palwal,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,palwal
Panipat,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,panipat
Rewari,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,rewari
Rohtak,Haryana,71.52,2018,7,2018-07-01,2018-07-01T00:00:00,rohtak
Shahdara,NCTofDelhi,104.67,2018,7,2018-07-01,2018-07-01T00:00:00,shahdara
Shamli,UttarPradesh,,2018,7,2018-07-01,2018-07-01T00:00:00,shamli
Sonipat,Haryana,,2018,7,2018-07-01,2018-07-01T00:00:00,sonipat
South Delhi,NCTofDelhi,105.95,2018,7,2018-07-01,2018-07-01T00:00:00,south delhi
South East Delhi,NCTofDelhi,111.3,2018,7,2018-07-01,2018-07-01T00:00:00,south east delhi
South West Delhi,NCTofDelhi,104.9,2018,7,2018-07-01,2018-07-01T00:00:00,south west delhi
West,NCTofDelhi,104.0,2018,7,2018-07-01,2018-07-01T00:00:00,west delhi
West Delhi,NCTofDelhi,116.92,2018,7,2018-07-01,2018-07-01T00:00:00,west delhi
Alwar,Rajasthan,99.37,2018,8,2018-08-01,2018-08-01T00:00:00,alwar
Baghpat,UttarPradesh,122.32,2018,8,2018-08-01,2018-08-01T00:00:00,baghpat
Bharatpur,Rajasthan,,2018,8,2018-08-01,2018-08-01T00:00:00,bharatpur
Bhiwani,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,bhiwani
Bulandshahr,UttarPradesh,96.64,2018,8,2018-08-01,2018-08-01T00:00:00,bulandshahr
East Delhi,NCTofDelhi,96.42,2018,8,2018-08-01,2018-08-01T00:00:00,east delhi
Faridabad,Haryana,140.88,2018,8,2018-08-01,2018-08-01T00:00:00,faridabad
Gautam Buddha Nagar,UttarPradesh,115.35,2018,8,2018-08-01,2018-08-01T00:00:00,gautam buddha nagar
Ghaziabad,UttarPradesh,112.17,2018,8,2018-08-01,2018-08-01T00:00:00,ghaziabad
Gurugram,Haryana,140.77,2018,8,2018-08-01,2018-08-01T00:00:00,gurugram
