id,date,state_name,state_code,district_name,district_code,station_name,latitude,longitude,basin,sub_basin,source,currentlevel,level_diff
191440,2015-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.52,-0.58
191441,2015-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,16.55,1.03
191442,2015-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.84,-0.71
191443,2015-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.7,-0.14
191444,2016-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.9,0.2
191445,2016-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,14.57,-1.33
191446,2016-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.22,0.65
191447,2017-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.31,0.09
191448,2017-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.93,0.62
191449,2017-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,15.98,0.05
191450,2018-01-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,16.11,0.13
191451,2018-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,16.12,0.01
191452,2019-01-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Dhankaur,28.33333,77.55833,Ganga,Yamuna Middle,CGWB,17.04,0.92
191453,2013-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,5.68,0.9
191454,2013-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,5.72,0.04
191455,2013-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,5.0,-0.72
191456,2014-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,5.4,0.4
191457,2014-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,8.28,2.88
191458,2014-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,4.1,-4.18
191459,2015-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,8.79,4.69
191460,2015-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,6.5,-2.29
191461,2015-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,3.93,-2.57
191462,2015-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,5.18,1.25
191463,2016-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,7.6,2.42
191464,2016-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,4.72,-2.88
191465,2016-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,4.37,-0.35
191466,2017-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,4.63,0.26
191467,2017-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,5.3,0.67
191468,2017-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,3.38,-1.92
191469,2017-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,3.46,0.08
191470,2018-01-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,4.38,0.92
191471,2018-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,5.99,1.61
191472,2018-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,6.65,0.66
191473,2019-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,6.51,-0.14
191474,2019-08-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,3.37,-3.14
191475,2020-01-09,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,4.13,0.76
191476,2021-01-09,Uttar Pradesh,9,Gautam Buddha Nagar,144,Chauki Pz,28.28556,77.63528,Ganga,Yamuna Middle,CGWB,4.96,0.83
191477,2013-01-01,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,10.3,5.34
191478,2013-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,10.0,-0.3
191479,2013-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,11.8,1.8
191480,2013-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,9.86,-1.94
191481,2013-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,10.28,0.42
